PDB_ID	antigen_name	CF_H1	CF_H2	CF_L1	CF_L2	CF_L3
7e8c	spike_glycoprotein	H1-7-seq_381	H2-6-seq_275	L1-16-seq_33	L2-7-seq_36	L3-9-seq_212
7e9b	programmed_cell_death_protein_1	H1-7-seq_544	H2-6-seq_457	L1-11-seq_302	L2-7-seq_129	L3-9-seq_338
7e9o	spike_glycoprotein	H1-7-seq_321	H2-6-seq_193	L1-16-seq_33	L2-7-seq_36	L3-9-seq_141
7eh5	spike_glycoprotein	H1-7-seq_352	H2-6-seq_271	L1-11-seq_208	L2-7-seq_133	L3-9-seq_210
7ej4	spike_glycoprotein	H1-7-seq_65	H2-6-seq_292	L1-12-seq_59	L2-7-seq_416	L3-9-seq_224
7ejz	spike_protein_s1	H1-7-seq_389		L1-11-seq_33	L2-7-seq_65	L3-10-seq_99
7eng	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-17-seq_24	L2-7-seq_449	L3-9-seq_404
7ey0	spike_glycoprotein	H1-7-seq_321	H2-6-seq_193	L1-11-seq_33	L2-7-seq_484	L3-10-seq_158
7ey5	spike_glycoprotein	H1-7-seq_503	H2-8-seq_14	L1-11-seq_289	L2-7-seq_387	L3-9-seq_309
7eya	spike_glycoprotein	H1-7-seq_636	H2-6-seq_231	L1-11-seq_377	L2-7-seq_711	L3-9-seq_394
7ezv	spike_glycoprotein	H1-7-seq_486	H2-6-seq_168	L1-11-seq_352	L2-7-seq_33	L3-9-seq_79
7f15	spike_protein_s1	H1-7-seq_386	H2-6-seq_492	L1-11-seq_375	L2-7-seq_708	L3-9-seq_393
7f3q	spike_glycoprotein	H1-7-seq_65	H2-6-seq_273	L1-11-seq_162	L2-7-seq_65	L3-11-seq_53
7fcp	spike_protein_s1	H1-7-seq_165	H2-6-seq_432	L1-11-seq_384	L2-7-seq_257	L3-10-seq_142
7fjc	spike_protein_s1	H1-7-seq_313	H2-6-seq_10	L1-11-seq_70	L2-7-seq_740	L3-9-seq_393
7fjo	spike_glycoprotein	H1-7-seq_387	H2-6-seq_301	L1-17-seq_17	L2-7-seq_449	L3-9-seq_393
7jmo	spike_protein_s1	H1-7-seq_513		L1-12-seq_1	L2-7-seq_33	L3-8-seq_26
7jmp	spike_protein_s1	H1-7-seq_513		L1-14-seq_101	L2-7-seq_97	L3-10-seq_25
7jv4	sars-cov-2_spike_glycoprotein	H1-7-seq_65	H2-6-seq_129	L1-14-seq_85	L2-7-seq_511	L3-10-seq_121
7jva	sars-cov-2_spike_glycoprotein	H1-7-seq_65	H2-6-seq_129	L1-13-seq_5	L2-7-seq_226	L3-10-seq_92
7jx3	spike_glycoprotein	H1-7-seq_100	H2-8-seq_4	L1-13-seq_5	L2-7-seq_226	L3-9-seq_306
7k8m	surface_glycoprotein	H1-7-seq_585		L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
7k8s	spike_glycoprotein	H1-7-seq_397	H2-6-seq_386	L1-11-seq_33	L2-7-seq_65	L3-9-seq_196
7k8v	spike_glycoprotein	H1-7-seq_512	H2-6-seq_34	L1-11-seq_298	L2-7-seq_578	L3-9-seq_393
7k8w	spike_glycoprotein	H1-7-seq_65	H2-6-seq_321	L1-14-seq_53	L2-7-seq_450	L3-11-seq_61
7k8x	spike_glycoprotein	H1-7-seq_603	H2-6-seq_513	L1-14-seq_101	L2-7-seq_741	L3-10-seq_25
7k8z	spike_glycoprotein	H1-7-seq_65	H2-6-seq_398	L1-11-seq_312	L2-7-seq_578	L3-9-seq_393
7k9z	spike_glycoprotein	H1-7-seq_65	H2-6-seq_428	L1-11-seq_1	L2-7-seq_65	L3-9-seq_258
7kdd	envelope_glycoprotein_b	H1-7-seq_608	H2-6-seq_474	L1-13-seq_4	L2-7-seq_610	L3-10-seq_157
7kde	envelope_glycoprotein_gp120	H1-8-seq_12	H2-6-seq_415	L1-13-seq_52	L2-7-seq_610	L3-11-seq_90
7kfv	surface_glycoprotein	H1-7-seq_513		L1-11-seq_225	L2-7-seq_65	L3-9-seq_256
7kfw	surface_glycoprotein	H1-7-seq_513		L1-11-seq_225	L2-7-seq_65	L3-9-seq_353
7kfx	surface_glycoprotein	H1-7-seq_637		L1-11-seq_225	L2-7-seq_65	L3-9-seq_353
7kfy	surface_glycoprotein	H1-7-seq_513		L1-11-seq_225	L2-7-seq_635	L3-9-seq_353
7klg	spike_glycoprotein	H1-7-seq_436	H2-6-seq_340	L1-11-seq_36	L2-7-seq_651	L3-9-seq_363
7kmg	spike_protein_s1	H1-7-seq_450	H2-6-seq_483	L1-11-seq_33	L2-7-seq_65	L3-9-seq_196
7kmh	spike_protein_s1	H1-7-seq_641		L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
7kmi	spike_protein_s1	H1-7-seq_513		L1-11-seq_162	L2-7-seq_65	L3-10-seq_176
7kml	spike_glycoprotein	H1-7-seq_436	H2-6-seq_340	L1-11-seq_36	L2-7-seq_651	L3-9-seq_264
7kn3	spike_protein_s1	H1-7-seq_667		L1-17-seq_24	L2-7-seq_449	L3-9-seq_351
7kn4	spike_protein_s1	H1-9-seq_36		L1-13-seq_2	L2-7-seq_459	L3-11-seq_14
7kqb	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_33	L2-7-seq_65	L3-9-seq_344
7kqg	hemagglutinin	H1-7-seq_321	H2-6-seq_410	L1-11-seq_244	L2-7-seq_257	L3-9-seq_227
7kqh	hemagglutinin	H1-7-seq_321	H2-6-seq_335	L1-11-seq_244	L2-7-seq_257	L3-9-seq_257
7kzb	spike_glycoprotein	H1-7-seq_191	H2-6-seq_394	L1-11-seq_125	L2-7-seq_65	L3-9-seq_316
7l2c	spike_glycoprotein	H1-7-seq_632	H2-6-seq_379	L1-14-seq_53	L2-7-seq_97	L3-9-seq_305
7l2d	spike_glycoprotein	H1-7-seq_632	H2-6-seq_491	L1-14-seq_53	L2-7-seq_577	L3-10-seq_136
7l2f	spike_glycoprotein	H1-7-seq_524	H2-6-seq_364	L1-12-seq_1	L2-7-seq_33	L3-10-seq_137
7l56	spike_glycoprotein	H1-7-seq_603	H2-6-seq_33	L1-14-seq_53	L2-7-seq_577	L3-10-seq_4
7l5b	spike_protein_s1	H1-7-seq_603	H2-6-seq_403	L1-14-seq_53	L2-7-seq_577	L3-10-seq_136
7l7e	spike_protein_s1	H1-7-seq_492	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-10-seq_127
7laa	spike_glycoprotein	H1-7-seq_33	H2-6-seq_129	L1-14-seq_34	L2-7-seq_699	L3-11-seq_91
7lab	spike_glycoprotein	H1-7-seq_577	H2-6-seq_484	L1-12-seq_1	L2-7-seq_33	L3-10-seq_138
7lcn	spike_glycoprotein	H1-7-seq_482	H2-6-seq_372	L1-14-seq_53	L2-7-seq_97	L3-11-seq_78
7lex	arginase-1	H1-7-seq_158	H2-6-seq_290	L1-11-seq_33	L2-7-seq_290	L3-9-seq_223
7ley	arginase-1	H1-7-seq_321	H2-6-seq_335	L1-11-seq_225	L2-7-seq_65	L3-9-seq_236
7lf2	arginase-1	H1-7-seq_577	H2-6-seq_322	L1-11-seq_238	L2-7-seq_452	L3-9-seq_220
7ljr	spike_glycoprotein	H1-7-seq_494	H2-6-seq_382	L1-12-seq_1	L2-7-seq_33	L3-8-seq_32
7ll1	envelope_glycoprotein_gp120	H1-7-seq_505	H2-6-seq_390	L1-11-seq_292	L2-7-seq_567	L3-9-seq_312
7lop	spike_protein_s1	H1-7-seq_603	H2-6-seq_33	L1-11-seq_33	L2-7-seq_290	L3-10-seq_70
7lrt	sars-cov-2_spike_glycoprotein	H1-7-seq_486	H2-6-seq_97	L1-12-seq_1	L2-7-seq_643	L3-9-seq_79
7ls9	spike_glycoprotein	H1-7-seq_425	H2-8-seq_15	L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
7lsf	envelope_protein_e	H1-7-seq_509	H2-6-seq_393	L1-11-seq_228	L2-7-seq_33	L3-9-seq_315
7lss	spike_glycoprotein	H1-9-seq_37		L1-14-seq_101	L2-7-seq_577	L3-9-seq_382
7luc	fusion_glycoprotein_f0	H1-7-seq_353	H2-6-seq_290	L1-16-seq_15	L2-7-seq_392	L3-9-seq_243
7lue	fusion_glycoprotein_f0	H1-7-seq_349	H2-6-seq_290	L1-16-seq_15	L2-7-seq_2	L3-9-seq_207
7lxw	spike_glycoprotein	H1-7-seq_483	H2-6-seq_385	L1-11-seq_281	L2-7-seq_641	L3-11-seq_84
7ly3	spike_protein_s1	H1-7-seq_65	H2-6-seq_385	L1-11-seq_306	L2-7-seq_354	L3-11-seq_88
7ly9	envelope_glycoprotein_gp120	H1-7-seq_372	H2-6-seq_289	L1-11-seq_217	L2-7-seq_546	L3-11-seq_3
7m3i	spike_protein_s1	H1-7-seq_449		L1-11-seq_199	L2-7-seq_641	L3-11-seq_53
7m42	spike_protein_s1	H1-7-seq_694	H2-6-seq_33	L1-14-seq_101	L2-7-seq_450	L3-10-seq_152
7m6d	spike_protein_s1	H1-7-seq_435		L1-12-seq_58	L2-7-seq_33	L3-9-seq_263
7m6e	spike_glycoprotein	H1-7-seq_429	H2-6-seq_34	L1-13-seq_2	L2-7-seq_100	L3-11-seq_105
7m6f	spike_glycoprotein	H1-7-seq_513		L1-14-seq_34	L2-7-seq_545	L3-11-seq_80
7m6g	spike_glycoprotein	H1-7-seq_65	H2-6-seq_290	L1-12-seq_69	L2-7-seq_33	L3-9-seq_289
7m6h	spike_glycoprotein	H1-7-seq_65	H2-6-seq_354	L1-14-seq_34	L2-7-seq_545	L3-11-seq_91
7m6i	spike_glycoprotein	H1-7-seq_549	H2-6-seq_344	L1-12-seq_66	L2-7-seq_33	L3-9-seq_271
7m7b	spike_glycoprotein	H1-7-seq_517		L1-13-seq_50	L2-7-seq_226	L3-9-seq_322
7mem	hemagglutinin_ha1_chain	H1-7-seq_65	H2-6-seq_347	L1-11-seq_259	L2-7-seq_257	L3-9-seq_274
7mf1	spike_protein_s1	H1-7-seq_549	H2-6-seq_419	L1-14-seq_53	L2-7-seq_450	L3-10-seq_177
7mmo	spike_protein_s1	H1-9-seq_43		L1-14-seq_35	L2-7-seq_332	L3-9-seq_382
7msq	spike_protein_s1	H1-7-seq_449		L1-11-seq_225	L2-7-seq_65	L3-9-seq_340
7mw3	spike_glycoprotein	H1-7-seq_65	H2-6-seq_279	L1-15-seq_4	L2-7-seq_399	L3-9-seq_214
7mw6	spike_glycoprotein	H1-7-seq_98	H2-6-seq_258	L1-15-seq_1	L2-7-seq_372	L3-9-seq_200
7mzf	spike_protein_s1	H1-7-seq_550		L1-11-seq_70	L2-7-seq_705	L3-9-seq_369
7mzh	spike_protein_s1	H1-7-seq_603	H2-6-seq_33	L1-13-seq_41	L2-7-seq_553	L3-11-seq_74
7mzj	spike_protein_s1	H1-7-seq_462	H2-8-seq_12	L1-11-seq_413	L2-7-seq_65	L3-10-seq_122
7mzk	spike_protein_s1	H1-7-seq_65	H2-6-seq_257	L1-13-seq_14	L2-7-seq_449	L3-11-seq_56
7mzl	spike_protein_s1	H1-7-seq_692		L1-11-seq_407	L2-7-seq_229	L3-8-seq_30
7mzm	spike_protein_s1	H1-7-seq_577	H2-6-seq_496	L1-12-seq_1	L2-7-seq_33	L3-10-seq_78
7mzn	spike_protein_s1	H1-7-seq_641		L1-11-seq_384	L2-7-seq_692	L3-9-seq_227
7n3c	nucleoprotein	H1-7-seq_65	H2-6-seq_465	L1-11-seq_33	L2-7-seq_290	L3-9-seq_164
7n3d	nucleoprotein	H1-7-seq_449		L1-11-seq_413	L2-7-seq_65	L3-9-seq_425
7n3i	spike_protein_s1	H1-7-seq_513		L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
7n4i	spike_protein_s1	H1-7-seq_297	H2-6-seq_34	L1-11-seq_33	L2-7-seq_65	L3-9-seq_105
7n4l	spike_protein_s1	H1-7-seq_65	H2-6-seq_386	L1-11-seq_35	L2-7-seq_65	L3-9-seq_398
7n5h	spike_glycoprotein	H1-9-seq_14		L1-12-seq_1	L2-7-seq_33	L3-9-seq_255
7n62	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-12-seq_1	L2-7-seq_33	L3-8-seq_48
7nd3	spike_glycoprotein	H1-7-seq_97		L1-11-seq_384	L2-7-seq_257	L3-8-seq_43
7nd5	spike_glycoprotein	H1-7-seq_578		L1-11-seq_225	L2-7-seq_65	L3-11-seq_66
7nd7	spike_glycoprotein	H1-7-seq_603	H2-6-seq_33	L1-14-seq_53	L2-7-seq_97	L3-10-seq_65
7neg	surface_glycoprotein	H1-7-seq_442		L1-11-seq_225	L2-7-seq_65	L3-10-seq_119
7np1	spike_protein_s1	H1-7-seq_578		L1-11-seq_340	L2-7-seq_65	L3-10-seq_99
7ntc	spike_glycoprotein	H1-7-seq_65	H2-6-seq_538	L1-11-seq_384	L2-7-seq_257	L3-9-seq_426
7nx7	spike_protein_s1	H1-7-seq_641		L1-12-seq_58	L2-7-seq_33	L3-8-seq_29
7or9	spike_protein_s1	H1-7-seq_567	H2-6-seq_443	L1-11-seq_33	L2-7-seq_65	L3-10-seq_147
7orb	spike_protein_s1	H1-7-seq_321	H2-6-seq_97	L1-11-seq_162	L2-7-seq_365	L3-9-seq_5
7phu	reticulocyte-binding_protein_homolog_5	H1-7-seq_65	H2-6-seq_33	L1-11-seq_199	L2-7-seq_484	L3-11-seq_3
7pnm	spike_glycoprotein	H1-7-seq_65	H2-6-seq_318	L1-16-seq_33	L2-7-seq_36	L3-9-seq_360
7pnq	spike_glycoprotein	H1-7-seq_517		L1-11-seq_228	L2-7-seq_33	L3-9-seq_286
7po5	spike_glycoprotein	H1-7-seq_517		L1-11-seq_228	L2-7-seq_33	L3-9-seq_286
7pqy	spike_protein_s1	H1-7-seq_513		L1-11-seq_384	L2-7-seq_257	L3-9-seq_227
7pry	surface_glycoprotein	H1-9-seq_49		L1-11-seq_33	L2-7-seq_290	L3-10-seq_70
7prz	surface_glycoprotein	H1-7-seq_579	H2-6-seq_452	L1-17-seq_21	L2-7-seq_449	L3-9-seq_361
7ps0	surface_glycoprotein	H1-9-seq_34		L1-14-seq_67	L2-7-seq_741	L3-10-seq_101
7ps1	surface_glycoprotein	H1-7-seq_623		L1-12-seq_6	L2-7-seq_33	L3-8-seq_48
7ps2	surface_glycoprotein	H1-7-seq_382	H2-6-seq_298	L1-17-seq_24	L2-7-seq_449	L3-10-seq_105
7ps4	surface_glycoprotein	H1-7-seq_577	H2-6-seq_494	L1-13-seq_58	L2-7-seq_710	L3-11-seq_14
7ps5	surface_glycoprotein	H1-7-seq_564	H2-6-seq_440	L1-12-seq_86	L2-7-seq_33	L3-9-seq_352
7ps6	spike_protein_s1	H1-7-seq_65	H2-6-seq_177	L1-14-seq_101	L2-7-seq_762	L3-10-seq_25
7ps7	surface_glycoprotein	H1-9-seq_38		L1-11-seq_329	L2-7-seq_354	L3-10-seq_144
7q0h	spike_protein_s1	H1-9-seq_53		L1-11-seq_225	L2-7-seq_65	L3-9-seq_331
7q0i	spike_protein_s1	H1-7-seq_65	H2-6-seq_385	L1-11-seq_199	L2-7-seq_484	L3-11-seq_84
7q9f	surface_glycoprotein	H1-7-seq_467	H2-6-seq_237	L1-12-seq_18	L2-7-seq_33	L3-11-seq_73
7q9j	spike_glycoprotein	H1-7-seq_506		L1-11-seq_199	L2-7-seq_641	L3-11-seq_87
7qez	spike_protein_s1	H1-7-seq_486	H2-6-seq_97	L1-12-seq_74	L2-7-seq_643	L3-9-seq_79
7qf0	spike_protein_s1	H1-7-seq_97		L1-11-seq_225	L2-7-seq_387	L3-10-seq_169
7qf1	spike_protein_s1	H1-7-seq_549	H2-6-seq_483	L1-11-seq_33	L2-7-seq_65	L3-9-seq_242
7qnw	surface_glycoprotein	H1-9-seq_35		L1-11-seq_70	L2-7-seq_705	L3-10-seq_112
7qny	surface_glycoprotein	H1-7-seq_321	H2-6-seq_193	L1-11-seq_338	L2-7-seq_641	L3-11-seq_53
7qtj	surface_glycoprotein	H1-7-seq_318	H2-6-seq_97	L1-11-seq_225	L2-7-seq_33	L3-9-seq_79
7r40	spike_glycoprotein	H1-7-seq_65	H2-6-seq_337	L1-11-seq_245	L2-7-seq_290	L3-9-seq_164
7r6x	spike_protein_s1	H1-7-seq_486	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-10-seq_154
7r7n	spike_glycoprotein	H1-7-seq_481	H2-6-seq_371	L1-11-seq_33	L2-7-seq_65	L3-9-seq_196
7r8l	spike_protein_s1	H1-7-seq_578		L1-12-seq_26	L2-7-seq_749	L3-9-seq_255
7r8n	spike_glycoprotein	H1-7-seq_642		L1-14-seq_53	L2-7-seq_450	L3-10-seq_165
7rbu	spike_protein_s1	H1-9-seq_38		L1-11-seq_162	L2-7-seq_65	L3-9-seq_31
7rdw	glycoprotein_120	H1-7-seq_603	H2-6-seq_370	L1-12-seq_103	L2-7-seq_33	
7rr0	spike_protein_s1	H1-7-seq_486	H2-6-seq_97	L1-12-seq_103	L2-7-seq_33	L3-9-seq_25
7ru4	spike_glycoprotein	H1-7-seq_233	H2-6-seq_248	L1-12-seq_1	L2-7-seq_33	L3-9-seq_142
7ru8	spike_glycoprotein	H1-7-seq_229	H2-6-seq_169	L1-11-seq_151	L2-7-seq_65	L3-9-seq_196
7rw2	spike_glycoprotein	H1-7-seq_65	H2-6-seq_321	L1-11-seq_225	L2-7-seq_65	L3-9-seq_345
7rxi	circumsporozoite_protein	H1-7-seq_593	H2-6-seq_261	L1-11-seq_199	L2-7-seq_663	L3-11-seq_100
7rxj	circumsporozoite_protein	H1-7-seq_571	H2-6-seq_446	L1-11-seq_386	L2-7-seq_353	L3-9-seq_190
7rxl	circumsporozoite_protein	H1-7-seq_65	H2-6-seq_231	L1-11-seq_386	L2-7-seq_353	L3-9-seq_185
7rxp	circumsporozoite_protein	H1-7-seq_647	H2-6-seq_500	L1-16-seq_33	L2-7-seq_36	L3-9-seq_141
7s07	envelope_glycoprotein_h	H1-7-seq_294	H2-8-seq_9	L1-11-seq_177	L2-7-seq_1	L3-9-seq_177
7s0b	spike_protein_s1	H1-7-seq_65	H2-6-seq_257	L1-11-seq_384	L2-7-seq_257	L3-9-seq_389
7s0c	spike_glycoprotein	H1-7-seq_65	H2-6-seq_437	L1-11-seq_384	L2-7-seq_257	L3-9-seq_348
7s0d	spike_glycoprotein	H1-7-seq_65	H2-6-seq_477	L1-11-seq_384	L2-7-seq_257	L3-9-seq_381
7s0x	circumsporozoite_protein	H1-7-seq_340	H2-6-seq_261	L1-11-seq_199	L2-7-seq_379	L3-10-seq_94
7s1b	envelope_glycoprotein_h	H1-7-seq_295		L1-12-seq_41	L2-7-seq_33	L3-9-seq_255
7s4s	spike_protein_s1	H1-7-seq_36		L1-12-seq_1	L2-7-seq_33	L3-10-seq_138
7s5p	spike_protein_s1	H1-7-seq_513		L1-11-seq_199	L2-7-seq_641	L3-11-seq_53
7s5q	spike_protein_s1	H1-7-seq_65	H2-6-seq_97	L1-11-seq_384	L2-7-seq_33	L3-9-seq_79
7s5r	spike_protein_s1	H1-7-seq_486	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
7s6j	spike_glycoprotein	H1-7-seq_549	H2-6-seq_59	L1-11-seq_33	L2-7-seq_290	
7sc1	spike_glycoprotein	H1-7-seq_641		L1-11-seq_225	L2-7-seq_65	L3-9-seq_228
7shy	ige_fc	H1-8-seq_6		L1-15-seq_6	L2-7-seq_649	L3-9-seq_261
7shz	ige_fc	H1-8-seq_6		L1-15-seq_8	L2-7-seq_649	L3-9-seq_261
7si0	ige_fc	H1-8-seq_6		L1-15-seq_6	L2-7-seq_649	L3-9-seq_261
7si2	spike_protein_s1	H1-7-seq_65	H2-6-seq_309	L1-11-seq_33	L2-7-seq_65	L3-10-seq_147
7sj0	spike_glycoprotein	H1-7-seq_293	H2-6-seq_484	L1-13-seq_33	L2-7-seq_610	L3-11-seq_32
7st5	tyrosine-protein_phosphatase_non-receptor_type_substrate_1	H1-7-seq_195	H2-6-seq_142	L1-11-seq_162	L2-7-seq_494	L3-9-seq_122
7str	nucleoprotein	H1-7-seq_449		L1-12-seq_1	L2-7-seq_33	L3-9-seq_79
7sts	nucleoprotein	H1-7-seq_449		L1-13-seq_2	L2-7-seq_100	L3-11-seq_14
7su0	cytotoxic_t-lymphocyte_protein_4	H1-7-seq_420	H2-6-seq_368	L1-12-seq_73	L2-7-seq_23	L3-9-seq_79
7sue	nucleoprotein	H1-7-seq_316	H2-6-seq_483	L1-14-seq_53	L2-7-seq_332	L3-10-seq_91
7swp	spike_protein_s1	H1-7-seq_678	H2-6-seq_118	L1-14-seq_116	L2-7-seq_545	L3-11-seq_91
7t01	spike_protein_s1	H1-9-seq_61		L1-11-seq_3	L2-7-seq_1	L3-9-seq_406
7t4r	envelope_glycoprotein_h	H1-7-seq_158	H2-6-seq_259	L1-11-seq_225	L2-7-seq_65	L3-9-seq_203
7t72	spike_protein_s1	H1-7-seq_97		L1-11-seq_384	L2-7-seq_257	L3-9-seq_167
7t7b	spike_protein_s1	H1-7-seq_320	H2-6-seq_10	L1-11-seq_384	L2-7-seq_257	L3-8-seq_25
7tat	spike_glycoprotein	H1-7-seq_496	H2-6-seq_384	L1-13-seq_2	L2-7-seq_710	L3-10-seq_17
7tb8	spike_glycoprotein	H1-7-seq_65	H2-6-seq_386	L1-11-seq_162	L2-7-seq_740	L3-9-seq_269
7tcc	spike_glycoprotein	H1-7-seq_423	H2-6-seq_97	L1-12-seq_1	L2-7-seq_33	L3-10-seq_118
7te1	spike_protein_s1	H1-7-seq_577	H2-6-seq_33	L1-11-seq_200	L2-7-seq_380	L3-9-seq_205
7tht	spike_glycoprotein	H1-7-seq_549	H2-6-seq_147	L1-11-seq_35	L2-7-seq_65	L3-9-seq_337
7tjq	fusion_glycoprotein_f0	H1-7-seq_65	H2-6-seq_230	L1-11-seq_301	L2-7-seq_194	L3-10-seq_86
7tl0	fusion_glycoprotein_f0	H1-7-seq_313	H2-6-seq_232	L1-11-seq_244	L2-7-seq_257	L3-9-seq_227
7tri	hemagglutinin	H1-7-seq_160		L1-11-seq_228	L2-7-seq_186	L3-8-seq_17
7ttx	spike_glycoprotein	H1-9-seq_14		L1-13-seq_5	L2-7-seq_226	L3-9-seq_311
7u0x	spike_glycoprotein	H1-7-seq_538	H2-6-seq_386	L1-13-seq_5	L2-7-seq_226	L3-9-seq_146
7u9e	gametocyte_surface_protein_p230	H1-7-seq_244	H2-6-seq_183	L1-11-seq_148	L2-7-seq_278	L3-11-seq_4
7u9o	spike_glycoprotein	H1-7-seq_289	H2-6-seq_220	L1-11-seq_33	L2-7-seq_290	L3-10-seq_70
7u9p	spike_glycoprotein	H1-7-seq_290	H2-6-seq_221	L1-11-seq_33	L2-7-seq_65	L3-9-seq_292
7u9w	gametocyte_surface_protein_p230	H1-7-seq_247	H2-6-seq_185	L1-11-seq_70	L2-7-seq_387	L3-9-seq_150
7ua2	gametocyte_surface_protein_p230	H1-7-seq_248	H2-6-seq_186	L1-11-seq_399	L2-7-seq_290	L3-10-seq_68
7ua8	gametocyte_surface_protein_p230	H1-7-seq_386	H2-6-seq_187	L1-11-seq_151	L2-7-seq_65	L3-9-seq_33
7uar	spike_glycoprotein	H1-7-seq_258	H2-6-seq_367	L1-13-seq_2	L2-7-seq_710	L3-11-seq_75
7ubs	gametocyte_surface_protein_p230	H1-7-seq_65	H2-6-seq_489	L1-17-seq_24	L2-7-seq_449	L3-9-seq_152
7uc8	gametocyte_surface_protein_p230	H1-7-seq_251		L1-12-seq_99	L2-7-seq_33	L3-9-seq_153
7ucq	gametocyte_surface_protein_p230	H1-7-seq_65	H2-6-seq_189	L1-11-seq_152	L2-7-seq_290	L3-10-seq_68
7ugq	envelope_glycoprotein_gp120	H1-7-seq_296	H2-6-seq_225	L1-14-seq_53	L2-7-seq_582	
7ui1	gametocyte_surface_protein_p230	H1-7-seq_253	H2-6-seq_190	L1-11-seq_153	L2-7-seq_285	L3-10-seq_70
7ukl	spike_glycoprotein	H1-7-seq_145	H2-6-seq_386	L1-11-seq_386	L2-7-seq_167	L3-11-seq_24
7ukm	spike_glycoprotein	H1-7-seq_290	H2-6-seq_385	L1-16-seq_33	L2-7-seq_172	L3-9-seq_92
7ul0	spike_protein_s1	H1-7-seq_65	H2-6-seq_177	L1-14-seq_101	L2-7-seq_741	L3-10-seq_11
7ul1	spike_protein_s1	H1-7-seq_578		L1-12-seq_1	L2-7-seq_33	L3-8-seq_23
7uow	spike_glycoprotein	H1-7-seq_578		L1-11-seq_225	L2-7-seq_387	L3-10-seq_50
7upl	spike_glycoprotein	H1-7-seq_312	H2-6-seq_34	L1-11-seq_384	L2-7-seq_257	L3-10-seq_90
7ur4	fusion_glycoprotein_f0	H1-7-seq_607	H2-6-seq_385	L1-11-seq_61	L2-7-seq_678	L3-11-seq_60
7uvh	gametocyte_surface_protein_p230	H1-7-seq_65	H2-6-seq_191	L1-11-seq_154	L2-7-seq_286	L3-10-seq_70
7uvi	gametocyte_surface_protein_p230	H1-7-seq_290	H2-6-seq_192	L1-11-seq_105	L2-7-seq_33	L3-10-seq_148
7uvo	gametocyte_surface_protein_p230	H1-7-seq_256	H2-6-seq_193	L1-14-seq_51	L2-7-seq_577	L3-10-seq_72
7uvq	gametocyte_surface_protein_p230	H1-7-seq_257	H2-6-seq_194	L1-10-seq_1	L2-7-seq_289	L3-10-seq_68
7uvs	gametocyte_surface_protein_p230	H1-7-seq_258	H2-6-seq_62	L1-17-seq_24	L2-7-seq_449	L3-9-seq_258
7v23	spike_glycoprotein	H1-7-seq_317	H2-6-seq_242	L1-11-seq_386	L2-7-seq_353	L3-9-seq_190
7v2a	spike_glycoprotein	H1-7-seq_577	H2-6-seq_34	L1-13-seq_33	L2-7-seq_610	L3-11-seq_95
7v3l	spike_glycoprotein	H1-7-seq_549	H2-6-seq_237	L1-11-seq_70	L2-7-seq_705	L3-10-seq_88
7v5k	spike_glycoprotein	H1-7-seq_229	H2-6-seq_419	L1-11-seq_151	L2-7-seq_65	L3-9-seq_425
7vmu	spike_protein_s1	H1-7-seq_578		L1-11-seq_225	L2-7-seq_65	L3-8-seq_41
7vux	programmed_cell_death_protein_1	H1-7-seq_65	H2-6-seq_286	L1-11-seq_35	L2-7-seq_452	L3-9-seq_220
7vyr	spike_protein_s1	H1-7-seq_174	H2-6-seq_435	L1-11-seq_260	L2-7-seq_641	L3-10-seq_143
7vyt	t-cell_immunoreceptor_with_ig_and_itim_domains	H1-7-seq_65	H2-6-seq_321	L1-12-seq_1	L2-7-seq_33	L3-10-seq_138
7vzt	spike_protein_s1	H1-7-seq_65	H2-6-seq_129	L1-13-seq_5	L2-7-seq_226	L3-10-seq_46
7wb5	surface_glycoprotein	H1-7-seq_577	H2-6-seq_408	L1-11-seq_35	L2-7-seq_452	L3-9-seq_286
7wbz	spike_protein_s1	H1-7-seq_305		L1-11-seq_225	L2-7-seq_387	L3-10-seq_153
7wch	surface_glycoprotein	H1-7-seq_275	H2-6-seq_210	L1-12-seq_38	L2-7-seq_643	L3-10-seq_77
7wcp	surface_glycoprotein	H1-7-seq_550		L1-11-seq_56	L2-7-seq_33	L3-9-seq_166
7wee	spike_glycoprotein	H1-9-seq_42		L1-14-seq_82	L2-7-seq_332	L3-11-seq_71
7wh8	spike_glycoprotein	H1-7-seq_450	H2-6-seq_206	L1-11-seq_33	L2-7-seq_290	L3-9-seq_164
7wi0	spike_protein_s1	H1-7-seq_65	H2-6-seq_209	L1-11-seq_35	L2-7-seq_65	L3-10-seq_140
7wjy	spike_glycoprotein	H1-7-seq_321	H2-6-seq_193	L1-11-seq_199	L2-7-seq_641	L3-11-seq_47
